name,comment
"${PATH}","パス格納リスト"
"${SystemRoot}","システムディレクトリのパス"
"${TEMP}","一時ファイル格納パス"
"${USERNAME}","ユーザーネーム"
"${COMPUTERNAME}","コンピューター名"
"${HOMEDRIVE}","ユーザープロファイルのドライブレター"
"${HOMEPATH}","ユーザープロファイルのパス"
"${INCLUDE}","グローバルなインクルードパス群"
"${LIB}","グローバルなライブラリパス群"
"${DEV_PROGRAM_PATH}","カスタム開発環境のメインディレクトリ"
"${DEV_TOOLS_PATH}","カスタム開発環境のメインツール格納ディレクトリ"
"${DEV_TOOLS_CLIBS_PATH}","カスタム開発環境のメインCライブラリ格納ディレクトリ"
"gcc.exe","C++開発に必要"
"g++.exe","C++開発に必要"
"python.exe","Python開発に必要"
"${CARGO_HOME}","Rust開発に必要"
"${CARGO_INSTALL_ROOT}","Rust開発に必要"
"cargo.exe","Rust開発に必要"
"rustc.exe","Rust開発に必要"
"mpv.exe","音声再生確認等に必要"
"eec.exe","カスタム開発環境構築に必要"
"eec-deleter.exe","カスタム開発環境構築に必要"
"${XDG_CONFIG_HOME}","neovim使用時に必要"
"${XDG_DATA_HOME}","neovim使用時に必要"
"${XDG_CACHE_HOME}","neovim使用時に必要"
